Library Description,C1,C2,C3,p,ds,rho,nH,T,H,E
p300000_ds0.004_rho2350_nH25_T16_Ep5e7_mu0.50,-3.021314383,-6.83263588,3.809986115,300000,0.004,2350,25,16,0.1,50000000
p140000_ds0.006_rho2600_nH12_T16_Ep5e7_mu0.50,-3.359887123,-10.08082199,-2.476047516,140000,0.006,2600,12,16,0.072,50000000
p200000_ds0.006_rho2350_nH18_T10_Ep5e7_mu0.50,-3.268565655,-9.393274307,-1.521941066,200000,0.006,2350,18,10,0.108,50000000
p200000_ds0.006_rho2500_nH18_T14_Ep5e7_mu0.50,-3.186675549,-8.846645355,-0.6418764,200000,0.006,2500,18,14,0.108,50000000
p200000_ds0.004_rho2550_nH18_T12_Ep5e7_mu0.50,-3.151481628,-8.319580078,0.574331224,200000,0.004,2550,18,12,0.072,50000000
p200000_ds0.004_rho2350_nH18_T12_Ep5e7_mu0.50,-3.236603975,-8.093653679,1.865474105,200000,0.004,2350,18,12,0.072,50000000
p100000_ds0.007_rho2500_nH10_T18_Ep5e7_mu0.50,-3.61171031,-11.83798313,-5.482058525,100000,0.007,2500,10,18,0.07,50000000
p180000_ds0.006_rho2550_nH18_T10_Ep5e7_mu0.50,-3.27713728,-9.704593658,-2.329337597,180000,0.006,2550,18,10,0.108,50000000
p100000_ds0.004_rho2350_nH10_T10_Ep5e7_mu0.50,-3.592815399,-11.07307434,-3.477607727,100000,0.004,2350,10,10,0.04,50000000
p300000_ds0.010_rho2300_nH30_T16_Ep5e7_mu0.50,-2.934113264,-7.352147102,1.698824525,300000,0.01,2300,30,16,0.3,50000000
p300000_ds0.005_rho2650_nH30_T16_Ep5e7_mu0.50,-2.99741888,-7.439381599,1.83670485,300000,0.005,2650,30,16,0.15,50000000
p300000_ds0.007_rho2350_nH30_T16_Ep5e7_mu0.50,-3.02030611,-7.739686966,1.448676586,300000,0.007,2350,30,16,0.21,50000000
p100000_ds0.004_rho2350_nH10_T12_Ep5e7_mu0.50,-3.63787508,-10.85302925,-2.519233227,100000,0.004,2350,10,12,0.04,50000000
p200000_ds0.004_rho2550_nH20_T12_Ep5e7_mu0.50,-3.270299435,-8.562970161,0.870317042,200000,0.004,2550,20,12,0.08,50000000
p200000_ds0.004_rho2350_nH20_T12_Ep5e7_mu0.50,-3.277062893,-8.305592537,1.423883557,200000,0.004,2350,20,12,0.08,50000000
p200000_ds0.004_rho2600_nH20_T18_Ep5e7_mu0.50,-3.181780815,-7.458455563,3.337238789,200000,0.004,2600,20,18,0.08,50000000
p160000_ds0.005_rho2550_nH18_T18_Ep5e7_mu0.50,-3.379368782,-9.863277435,-1.661127329,160000,0.005,2550,18,18,0.09,50000000
p100000_ds0.007_rho2600_nH12_T14_Ep5e7_mu0.50,-3.571313381,-12.23050404,-7.087694645,100000,0.007,2600,12,14,0.084,50000000
p100000_ds0.006_rho2450_nH12_T18_Ep5e7_mu0.50,-3.637579918,-12.44227982,-7.055820942,100000,0.006,2450,12,18,0.072,50000000
p100000_ds0.004_rho2650_nH12_T16_Ep5e7_mu0.50,-3.589390755,-11.12013531,-3.662900925,100000,0.004,2650,12,16,0.048,50000000
p100000_ds0.004_rho2650_nH12_T14_Ep5e7_mu0.50,-3.646243572,-10.81861687,-2.449898005,100000,0.004,2650,12,14,0.048,50000000
p120000_ds0.006_rho2600_nH15_T16_Ep5e7_mu0.50,-3.625173092,-11.32435799,-3.982858896,120000,0.006,2600,15,16,0.09,50000000
p200000_ds0.004_rho2600_nH25_T18_Ep5e7_mu0.50,-3.271488905,-8.215971947,1.945103765,200000,0.004,2600,25,18,0.1,50000000
p95000_ds0.006_rho2800_nH12_T10_Ep5e7_mu0.50,-3.425147057,-11.69103241,-6.619636536,95000,0.006,2800,12,10,0.072,50000000
p140000_ds0.004_rho2550_nH18_T14_Ep5e7_mu0.50,-3.487823009,-10.03430843,-1.615555167,140000,0.004,2550,18,14,0.072,50000000
